episode_code,season,episode,summary_status,summary_source,note
S01E01,1,1,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S01E02,1,2,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S01E03,1,3,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S01E04,1,4,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S01E05,1,5,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S01E06,1,6,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S01E07,1,7,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E01,2,1,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E02,2,2,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E03,2,3,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E04,2,4,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E05,2,5,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E06,2,6,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E07,2,7,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E08,2,8,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E09,2,9,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E10,2,10,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E11,2,11,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E12,2,12,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E13,2,13,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E14,2,14,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E15,2,15,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E16,2,16,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E17,2,17,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E18,2,18,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E19,2,19,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E20,2,20,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S02E21,2,21,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E01,3,1,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E02,3,2,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E03,3,3,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E04,3,4,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E05,3,5,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E06,3,6,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E07,3,7,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E08,3,8,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E09,3,9,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E10,3,10,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E11,3,11,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E12,3,12,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E13,3,13,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E14,3,14,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E15,3,15,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E16,3,16,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E17,3,17,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E18,3,18,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E19,3,19,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E20,3,20,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E21,3,21,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S03E22,3,22,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E01,4,1,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E02,4,2,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E03,4,3,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E04,4,4,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E05,4,5,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E06,4,6,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E07,4,7,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E08,4,8,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E09,4,9,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E10,4,10,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E11,4,11,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E12,4,12,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E13,4,13,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E14,4,14,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E15,4,15,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E16,4,16,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E17,4,17,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E18,4,18,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E19,4,19,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E20,4,20,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E21,4,21,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E22,4,22,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E23,4,23,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E24,4,24,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E25,4,25,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E26,4,26,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E27,4,27,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E28,4,28,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E29,4,29,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S04E30,4,30,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E01,5,1,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E02,5,2,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E03,5,3,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E04,5,4,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E05,5,5,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E06,5,6,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E07,5,7,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E08,5,8,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E09,5,9,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E10,5,10,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E11,5,11,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E12,5,12,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E13,5,13,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E14,5,14,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E15,5,15,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E16,5,16,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E17,5,17,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S05E18,5,18,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E01,6,1,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E02,6,2,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E03,6,3,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E04,6,4,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E05,6,5,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E06,6,6,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E07,6,7,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E08,6,8,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E09,6,9,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E10,6,10,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E11,6,11,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S06E12,6,12,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S07E01,7,1,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S07E02,7,2,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S07E03,7,3,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S07E04,7,4,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S07E05,7,5,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S07E06,7,6,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
S07E07,7,7,pending,TVmaze Family Guy episode guide,Dedicated original spoiler-summary prose pass pending
